name,description,price,category_slug,tags,image_url,purchase_url
Meal Prep Box,"A simple, demo-friendly gift for fitness, training interests.",30.49,home-kitchen,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Running Belt,"A simple, demo-friendly gift for fitness, training interests.",33.99,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1552674605-db6ffd4facb5?auto=format&fit=crop&w=800&q=80,
Electrolyte Mix,"A simple, demo-friendly gift for fitness, training interests.",38.49,food-drink,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Yoga Mat,"A simple, demo-friendly gift for fitness, training interests.",41.99,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?auto=format&fit=crop&w=800&q=80,
Gym Towel,"A simple, demo-friendly gift for fitness, training interests.",46.49,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Foam Roller,"A simple, demo-friendly gift for fitness, training interests.",49.99,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Jump Rope,"A simple, demo-friendly gift for fitness, training interests.",10.49,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Grip Socks,"A simple, demo-friendly gift for fitness, training interests.",13.99,fashion-streetwear,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Workout Gloves,"A simple, demo-friendly gift for fitness, training interests.",18.49,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Fitness Journal,"A simple, demo-friendly gift for fitness, training interests.",21.99,books-stationery,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Recovery Balm,"A simple, demo-friendly gift for fitness, training interests.",26.49,beauty-self-care,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Sports Duffel,"A simple, demo-friendly gift for fitness, training interests.",29.99,sports-outdoors,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Healthy Snacks,"A simple, demo-friendly gift for fitness, training interests.",34.49,food-drink,"fitness,training,performance,wellness",https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&w=800&q=80,
Songwriting Journal,"A simple, demo-friendly gift for songwriting, journaling interests.",37.99,books-stationery,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Cat Mug,"A simple, demo-friendly gift for songwriting, journaling interests.",42.49,home-kitchen,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Bracelet Kit,"A simple, demo-friendly gift for songwriting, journaling interests.",45.99,collectibles-fan-culture,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Memory Box,"A simple, demo-friendly gift for songwriting, journaling interests.",50.49,collectibles-fan-culture,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Reading Blanket,"A simple, demo-friendly gift for songwriting, journaling interests.",9.99,home-kitchen,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Book Tabs,"A simple, demo-friendly gift for songwriting, journaling interests.",14.49,books-stationery,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Writer Tea,"A simple, demo-friendly gift for songwriting, journaling interests.",17.99,food-drink,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Cat Stickers,"A simple, demo-friendly gift for songwriting, journaling interests.",22.49,books-stationery,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Prompt Cards,"A simple, demo-friendly gift for songwriting, journaling interests.",25.99,puzzles-games,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Desk Speaker,"A simple, demo-friendly gift for songwriting, journaling interests.",30.49,music-audio,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Poetry Book,"A simple, demo-friendly gift for songwriting, journaling interests.",33.99,books-stationery,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Tea Candle,"A simple, demo-friendly gift for songwriting, journaling interests.",38.49,home-kitchen,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Vinyl Frame,"A simple, demo-friendly gift for songwriting, journaling interests.",41.99,collectibles-fan-culture,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Letter Set,"A simple, demo-friendly gift for songwriting, journaling interests.",46.49,books-stationery,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Cozy Socks,"A simple, demo-friendly gift for songwriting, journaling interests.",49.99,fashion-streetwear,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Lyric Pens,"A simple, demo-friendly gift for songwriting, journaling interests.",10.49,books-stationery,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Cat Bookmark,"A simple, demo-friendly gift for songwriting, journaling interests.",13.99,books-stationery,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Tea Infuser,"A simple, demo-friendly gift for songwriting, journaling interests.",18.49,home-kitchen,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Story Dice,"A simple, demo-friendly gift for songwriting, journaling interests.",21.99,puzzles-games,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Mini Scrapbook,"A simple, demo-friendly gift for songwriting, journaling interests.",26.49,books-stationery,"songwriting,journaling,cozy,storytelling",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Olive Oil,"A simple, demo-friendly gift for cooking, hosting interests.",29.99,food-drink,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&w=800&q=80,
Tomato Bowl,"A simple, demo-friendly gift for cooking, hosting interests.",34.49,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1592924357228-91a4daadcfea?auto=format&fit=crop&w=800&q=80,
Chef Knife,"A simple, demo-friendly gift for cooking, hosting interests.",37.99,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Spice Drawer,"A simple, demo-friendly gift for cooking, hosting interests.",42.49,food-drink,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1506368249639-73a05d6f6488?auto=format&fit=crop&w=800&q=80,
Herb Kit,"A simple, demo-friendly gift for cooking, hosting interests.",45.99,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Serving Board,"A simple, demo-friendly gift for cooking, hosting interests.",50.49,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Tomato Seeds,"A simple, demo-friendly gift for cooking, hosting interests.",9.99,food-drink,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1592924357228-91a4daadcfea?auto=format&fit=crop&w=800&q=80,
Serving Bowl,"A simple, demo-friendly gift for cooking, hosting interests.",14.49,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Gourmet Salt,"A simple, demo-friendly gift for cooking, hosting interests.",17.99,food-drink,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Wooden Spoons,"A simple, demo-friendly gift for cooking, hosting interests.",22.49,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Pasta Kit,"A simple, demo-friendly gift for cooking, hosting interests.",25.99,food-drink,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Pizza Stone,"A simple, demo-friendly gift for cooking, hosting interests.",30.49,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Market Basket,"A simple, demo-friendly gift for cooking, hosting interests.",33.99,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Bread Knife,"A simple, demo-friendly gift for cooking, hosting interests.",38.49,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Wine Glasses,"A simple, demo-friendly gift for cooking, hosting interests.",41.99,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Apron Set,"A simple, demo-friendly gift for cooking, hosting interests.",46.49,fashion-streetwear,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Garlic Press,"A simple, demo-friendly gift for cooking, hosting interests.",49.99,home-kitchen,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Coffee Set,"A simple, demo-friendly gift for cooking, hosting interests.",10.49,food-drink,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Recipe Cards,"A simple, demo-friendly gift for cooking, hosting interests.",13.99,books-stationery,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Snack Board,"A simple, demo-friendly gift for cooking, hosting interests.",18.49,food-drink,"cooking,hosting,mediterranean,gourmet",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Paint Kit,"A simple, demo-friendly gift for art, painting interests.",21.99,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Star Lamp,"A simple, demo-friendly gift for art, painting interests.",26.49,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Canvas Pack,"A simple, demo-friendly gift for art, painting interests.",29.99,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Artist Sketchbook,"A simple, demo-friendly gift for art, painting interests.",34.49,books-stationery,"art,painting,creative,color",https://images.unsplash.com/photo-1512820790803-83ca734da794?auto=format&fit=crop&w=800&q=80,
Color Cards,"A simple, demo-friendly gift for art, painting interests.",37.99,books-stationery,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Brush Roll,"A simple, demo-friendly gift for art, painting interests.",42.49,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Sunflower Prints,"A simple, demo-friendly gift for art, painting interests.",45.99,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Portable Easel,"A simple, demo-friendly gift for art, painting interests.",50.49,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Paint Markers,"A simple, demo-friendly gift for art, painting interests.",9.99,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Ceramic Palette,"A simple, demo-friendly gift for art, painting interests.",14.49,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Watercolor Set,"A simple, demo-friendly gift for art, painting interests.",17.99,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Drawing Pencils,"A simple, demo-friendly gift for art, painting interests.",22.49,books-stationery,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Art Apron,"A simple, demo-friendly gift for art, painting interests.",25.99,fashion-streetwear,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Studio Poster,"A simple, demo-friendly gift for art, painting interests.",30.49,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Craft Scissors,"A simple, demo-friendly gift for art, painting interests.",33.99,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Clay Kit,"A simple, demo-friendly gift for art, painting interests.",38.49,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Art Book,"A simple, demo-friendly gift for art, painting interests.",41.99,books-stationery,"art,painting,creative,color",https://images.unsplash.com/photo-1512820790803-83ca734da794?auto=format&fit=crop&w=800&q=80,
Brush Cleaner,"A simple, demo-friendly gift for art, painting interests.",46.49,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Gallery Frame,"A simple, demo-friendly gift for art, painting interests.",49.99,art-design,"art,painting,creative,color",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Color Notebook,"A simple, demo-friendly gift for art, painting interests.",10.49,books-stationery,"art,painting,creative,color",https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=800&q=80,
Galaxy Projector,"A simple, demo-friendly gift for gaming, challenge interests.",13.99,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Gaming Controller,"A simple, demo-friendly gift for gaming, challenge interests.",18.49,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1606144042614-b2417e99c4e3?auto=format&fit=crop&w=800&q=80,
Challenge Cards,"A simple, demo-friendly gift for gaming, challenge interests.",21.99,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Lavalier Mic,"A simple, demo-friendly gift for gaming, challenge interests.",26.49,electronics,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
LED Gadget,"A simple, demo-friendly gift for gaming, challenge interests.",29.99,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Stream Light,"A simple, demo-friendly gift for gaming, challenge interests.",34.49,electronics,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Prize Wheel,"A simple, demo-friendly gift for gaming, challenge interests.",37.99,puzzles-games,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Mini Drone,"A simple, demo-friendly gift for gaming, challenge interests.",42.49,electronics,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Gaming Mat,"A simple, demo-friendly gift for gaming, challenge interests.",45.99,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Mystery Box,"A simple, demo-friendly gift for gaming, challenge interests.",50.49,collectibles-fan-culture,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
RGB Keyboard,"A simple, demo-friendly gift for gaming, challenge interests.",9.99,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Gaming Headset,"A simple, demo-friendly gift for gaming, challenge interests.",14.49,music-audio,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,
Snack Pack,"A simple, demo-friendly gift for gaming, challenge interests.",17.99,food-drink,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Creator Tripod,"A simple, demo-friendly gift for gaming, challenge interests.",22.49,electronics,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Ring Light,"A simple, demo-friendly gift for gaming, challenge interests.",25.99,electronics,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Arcade Console,"A simple, demo-friendly gift for gaming, challenge interests.",30.49,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Game Cards,"A simple, demo-friendly gift for gaming, challenge interests.",33.99,puzzles-games,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1610890716171-6b1bb98ffd09?auto=format&fit=crop&w=800&q=80,
Controller Stand,"A simple, demo-friendly gift for gaming, challenge interests.",38.49,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1606144042614-b2417e99c4e3?auto=format&fit=crop&w=800&q=80,
RGB Mouse,"A simple, demo-friendly gift for gaming, challenge interests.",41.99,gaming-tech-toys,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Creator Hoodie,"A simple, demo-friendly gift for gaming, challenge interests.",46.49,fashion-streetwear,"gaming,challenge,creator,rgb",https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,
Fragrance Set,"A simple, demo-friendly gift for fashion, beauty interests.",49.99,beauty-self-care,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,
Touch-Up Kit,"A simple, demo-friendly gift for fashion, beauty interests.",10.49,beauty-self-care,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,
Vanity Organizer,"A simple, demo-friendly gift for fashion, beauty interests.",13.99,beauty-self-care,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,
Gold Hoops,"A simple, demo-friendly gift for fashion, beauty interests.",18.49,fashion-streetwear,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?auto=format&fit=crop&w=800&q=80,
Minimal Sunglasses,"A simple, demo-friendly gift for fashion, beauty interests.",21.99,fashion-streetwear,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1483985988355-763728e1935b?auto=format&fit=crop&w=800&q=80,
Skincare Pouch,"A simple, demo-friendly gift for fashion, beauty interests.",26.49,beauty-self-care,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,
Silk Wrap,"A simple, demo-friendly gift for fashion, beauty interests.",29.99,beauty-self-care,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,
Makeup Brushes,"A simple, demo-friendly gift for fashion, beauty interests.",34.49,beauty-self-care,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1513364776144-60967b0f800f?auto=format&fit=crop&w=800&q=80,
Photo Frames,"A simple, demo-friendly gift for fashion, beauty interests.",37.99,home-kitchen,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=800&q=80,
Fashion Book,"A simple, demo-friendly gift for fashion, beauty interests.",42.49,books-stationery,"fashion,beauty,glam,lifestyle",https://images.unsplash.com/photo-1512820790803-83ca734da794?auto=format&fit=crop&w=800&q=80,
